attr_pair;n_clusters;inertia;silhouette
moneyLine, total;4;5.513871221671891;0.4305231349592165
moneyLine, total;5;4.159259791759544;0.40782201522377926
moneyLine, total;6;3.6561194657883984;0.37988767949674723
moneyLine, total;7;3.2273731144402475;0.3392444307438735
moneyLine, total;8;2.8631806246768363;0.34300891568139286
moneyLine, spread;2;7.269815232364296;0.6563261944103683
moneyLine, spread;3;3.963501872487176;0.5841463509985683
moneyLine, spread;4;2.01463665180661;0.5938719205801429
moneyLine, spread;5;1.317510423393255;0.5836955083677489
moneyLine, spread;6;0.9406874724357863;0.5628886664861368
moneyLine, spread;7;0.6995410492473421;0.554130740035054
moneyLine, spread;8;0.5641062641616864;0.5598305828918108
moneyLine, secondHalfTotal;2;11.299456759519643;0.48977846830080574
moneyLine, secondHalfTotal;3;6.5017578055587695;0.4503762292970168
moneyLine, secondHalfTotal;4;4.735976074584696;0.4013380806101882
moneyLine, secondHalfTotal;5;3.792150615414901;0.37044002669901643
moneyLine, secondHalfTotal;6;3.328100946535111;0.3313651965142845
moneyLine, secondHalfTotal;7;2.9296031594130527;0.34787229257296093
moneyLine, secondHalfTotal;8;2.5632852918790356;0.3368055310275668
opponentMoneyLine, total;2;12.589897316344482;0.5406847139843485
opponentMoneyLine, total;3;7.135641422003541;0.48248891011370715
opponentMoneyLine, total;4;4.434193051443215;0.4732286629548272
opponentMoneyLine, total;5;3.0834739855128186;0.45914865076763284
opponentMoneyLine, total;6;2.5785894280417594;0.41187029750097326
opponentMoneyLine, total;7;2.17812440480714;0.4044095498652961
opponentMoneyLine, total;8;1.8834442692528168;0.3779749371748427
opponentMoneyLine, spread;2;6.872355867817708;0.6603674256724411
opponentMoneyLine, spread;3;3.847140308904135;0.5963243056112852
opponentMoneyLine, spread;4;1.8482360858854698;0.593367197621191
opponentMoneyLine, spread;5;1.2358346935392088;0.578517486425436
opponentMoneyLine, spread;6;0.8557075100058483;0.570281902759693
opponentMoneyLine, spread;7;0.660184638921646;0.5538351302256026
opponentMoneyLine, spread;8;0.5004241667793277;0.5549886605933276
opponentMoneyLine, secondHalfTotal;2;10.221366935753847;0.5156504757783305
opponentMoneyLine, secondHalfTotal;3;5.528432527743137;0.4884973043528491
opponentMoneyLine, secondHalfTotal;4;3.676478716088176;0.45540106955565535
opponentMoneyLine, secondHalfTotal;5;2.7333624093676714;0.42519130946998457
opponentMoneyLine, secondHalfTotal;6;2.2850993883075263;0.3893996486850091
opponentMoneyLine, secondHalfTotal;7;1.9642962441103222;0.38432530967770506
opponentMoneyLine, secondHalfTotal;8;1.6904558568596695;0.3496328998088153
total, spread;2;39.71660559374381;0.3333824493408196
total, spread;3;25.37047772019757;0.3716589877851401
total, spread;4;18.207940917392555;0.3809199617667433
total, spread;5;14.96436341375173;0.36891932618737644
total, spread;6;12.6480263383403;0.3466209705328677
total, spread;7;10.975518316207658;0.35020337512889044
total, spread;8;9.64740018062134;0.34260044562448433
total, secondHalfTotal;2;24.160925445707953;0.4958801167556761
total, secondHalfTotal;3;14.519558656207986;0.4395703042772785
total, secondHalfTotal;4;10.618321165858337;0.39885617749903746
total, secondHalfTotal;5;8.601321469255481;0.37169433741388286
total, secondHalfTotal;6;7.060933110157155;0.4109356832303564
total, secondHalfTotal;7;5.628614005324203;0.4481919278481539
total, secondHalfTotal;8;4.859181866633289;0.44123368327802925
spread, secondHalfTotal;2;33.33556851445624;0.3807617340449588
spread, secondHalfTotal;3;22.433682838906464;0.3719312393369142
spread, secondHalfTotal;4;15.770837470827114;0.3759534765913114
spread, secondHalfTotal;5;13.087985485960669;0.35761363839955035
spread, secondHalfTotal;6;11.09419533356866;0.3368706860024789
spread, secondHalfTotal;7;9.320388607441519;0.3545972034488209
spread, secondHalfTotal;8;8.238704111625777;0.3618034968393315
